make,vehicleModel,manufacturedYear,registeredYear,mileage,previousOwners,exteriorColor,fuelType,condition,transmission,bodyType,engineCapacity,value,normalized_value,normalized_engineCapacity,normalized_mileage,normalized_manufacturedYear,normalized_registeredYear
toyota,aqua,2015,2016,89000,1,white,hybrid,pre-owned,automatic,hatchback,1500,9090000,0.0845236266830492,0.25373134328358204,0.20991193938152775,0.8717948717948687,0.8461538461538467
toyota,premio,2013,2013,96000,1,white,petrol,pre-owned,automatic,sedan,1500,10975000,0.10382429734295807,0.25373134328358204,0.22783125127995085,0.8205128205128176,0.7692307692307665
toyota,premio,2012,2013,178000,2,black,petrol,pre-owned,automatic,sedan,1500,12900000,0.123534531305995,0.25373134328358204,0.4377431906614786,0.7948717948717956,0.7692307692307665
toyota,premio,2018,2018,84000,1,green,petrol,pre-owned,automatic,sedan,1500,17950000,0.17524189832590997,0.25373134328358204,0.1971124308826541,0.9487179487179489,0.8974358974358978
toyota,premio,2014,2014,238600,3,red,petrol,pre-owned,automatic,sedan,1500,12500000,0.11943889827471459,0.25373134328358204,0.5928732336678272,0.8461538461538467,0.7948717948717956
toyota,premio,2014,2015,70000,1,white,petrol,pre-owned,automatic,sedan,1500,12475000,0.11918292121025957,0.25373134328358204,0.1612738070858079,0.8461538461538467,0.8205128205128176
toyota,premio,2019,2019,50000,1,white,petrol,pre-owned,automatic,sedan,1500,19400000,0.1900885680643014,0.25373134328358204,0.11007577309031333,0.9743589743589709,0.9230769230769198
toyota,premio,2019,2019,38500,1,white,petrol,pre-owned,automatic,sedan,1500,18450000,0.18036143961501047,0.25373134328358204,0.08063690354290395,0.9743589743589709,0.9230769230769198
toyota,premio,2013,2014,165000,3,white,petrol,pre-owned,automatic,sedan,1500,12390000,0.11831259919111246,0.25373134328358204,0.40446446856440715,0.8205128205128176,0.7948717948717956
toyota,premio,2018,2019,78000,1,white,petrol,pre-owned,automatic,sedan,1500,18550000,0.1813853478728306,0.25373134328358204,0.18175302068400573,0.9487179487179489,0.9230769230769198
toyota,premio,2016,2016,95000,1,white,petrol,pre-owned,automatic,sedan,1500,16200000,0.15732350381405824,0.25373134328358204,0.2252713495801761,0.8974358974358978,0.8461538461538467
toyota,premio,2018,2018,52000,1,white,petrol,pre-owned,automatic,sedan,1500,18000000,0.17575385245482003,0.25373134328358204,0.11519557648986278,0.9487179487179489,0.8974358974358978
toyota,premio,2014,2015,130000,2,blue,petrol,pre-owned,automatic,sedan,1500,12300000,0.11739108175907438,0.25373134328358204,0.3148679090722916,0.8461538461538467,0.8205128205128176
toyota,premio,2010,2011,130000,2,white,petrol,pre-owned,automatic,sedan,1800,10450000,0.09844877898940255,0.4029850746268656,0.3148679090722916,0.7435897435897445,0.7179487179487154
toyota,premio,2011,2011,160000,3,black,petrol,pre-owned,automatic,sedan,1500,11000000,0.10408027440741309,0.25373134328358204,0.3916649600655335,0.7692307692307665,0.7179487179487154
toyota,premio,2019,2019,60000,1,white,petrol,pre-owned,automatic,sedan,1500,19000000,0.18599293503302103,0.25373134328358204,0.1356747900880606,0.9743589743589709,0.9230769230769198
toyota,premio,2014,2015,110000,2,black,petrol,pre-owned,automatic,sedan,1500,13400000,0.12865407259509545,0.25373134328358204,0.26366987507679707,0.8461538461538467,0.8205128205128176
toyota,premio,2013,2013,136000,2,white,petrol,pre-owned,automatic,sedan,1500,12450000,0.11892694414580453,0.25373134328358204,0.33022731927094,0.8205128205128176,0.7692307692307665
toyota,premio,2017,2017,131000,2,red,petrol,pre-owned,automatic,sedan,1500,16500000,0.16039522858751853,0.25373134328358204,0.31742781077206633,0.9230769230769198,0.8717948717948687
